symbol,date,trade_date,base_score,base_rank,base_pct
301165,2026-07-03,2026-07-03,0.034195967619706426,1,1.0
002422,2026-07-03,2026-07-03,0.020769708265063268,2,0.9966442953020134
000975,2026-07-03,2026-07-03,0.018621215099652064,3,0.9932885906040269
688012,2026-07-03,2026-07-03,0.016622480276859475,4,0.9899328859060402
300476,2026-07-03,2026-07-03,0.016614878119254623,5,0.9865771812080537
000807,2026-07-03,2026-07-03,0.015003433866185112,6,0.9832214765100671
002532,2026-07-03,2026-07-03,0.014942978310417104,7,0.9798657718120806
601600,2026-07-03,2026-07-03,0.014727860111859125,8,0.9765100671140939
002371,2026-07-03,2026-07-03,0.01435502232770078,9,0.9731543624161074
002625,2026-07-03,2026-07-03,0.01374029271140502,10,0.9697986577181208
688082,2026-07-03,2026-07-03,0.013658268520908233,11,0.9664429530201343
688256,2026-07-03,2026-07-03,0.013361250033278257,12,0.9630872483221476
600188,2026-07-03,2026-07-03,0.013230989950296057,13,0.959731543624161
002460,2026-07-03,2026-07-03,0.01251035893202974,14,0.9563758389261745
688521,2026-07-03,2026-07-03,0.011963502341578797,15,0.9530201342281879
002594,2026-07-03,2026-07-03,0.011413596716596357,16,0.9496644295302014
600489,2026-07-03,2026-07-03,0.011373902247150607,17,0.9463087248322147
600547,2026-07-03,2026-07-03,0.011236506522909225,18,0.9429530201342282
688506,2026-07-03,2026-07-03,0.011219688637155641,19,0.9395973154362416
300450,2026-07-03,2026-07-03,0.01069122868088074,20,0.9362416107382551
605499,2026-07-03,2026-07-03,0.010680156711619279,21,0.9328859060402684
300316,2026-07-03,2026-07-03,0.010391025406163053,22,0.9295302013422819
300661,2026-07-03,2026-07-03,0.010351217387880444,23,0.9261744966442953
002353,2026-07-03,2026-07-03,0.01019762846012921,24,0.9228187919463087
300502,2026-07-03,2026-07-03,0.010112188497112302,25,0.9194630872483222
601066,2026-07-03,2026-07-03,0.009950968283995868,26,0.9161073825503355
688303,2026-07-03,2026-07-03,0.00939548082464411,27,0.912751677852349
688223,2026-07-03,2026-07-03,0.009032928304003941,28,0.9093959731543624
600999,2026-07-03,2026-07-03,0.008893236165715074,29,0.9060402684563759
688396,2026-07-03,2026-07-03,0.008426510212942929,30,0.9026845637583892
601898,2026-07-03,2026-07-03,0.008245396099860188,31,0.8993288590604027
600233,2026-07-03,2026-07-03,0.008108224698589975,32,0.8959731543624161
002475,2026-07-03,2026-07-03,0.008043123799918343,33,0.8926174496644296
301269,2026-07-03,2026-07-03,0.007868191527407814,34,0.889261744966443
600893,2026-07-03,2026-07-03,0.007809233212368629,35,0.8859060402684564
000408,2026-07-03,2026-07-03,0.0075929141911198865,36,0.8825503355704698
001979,2026-07-03,2026-07-03,0.007571398667591768,37,0.8791946308724832
000338,2026-07-03,2026-07-03,0.007550813964800267,38,0.8758389261744967
600482,2026-07-03,2026-07-03,0.0074429015730468,39,0.87248322147651
603259,2026-07-03,2026-07-03,0.007417274066102822,40,0.8691275167785235
000657,2026-07-03,2026-07-03,0.00725398268502661,41,0.8657718120805369
688041,2026-07-03,2026-07-03,0.0071892007125670026,42,0.8624161073825504
600438,2026-07-03,2026-07-03,0.007127330756224447,43,0.8590604026845637
002938,2026-07-03,2026-07-03,0.007054841561687972,44,0.8557046979865772
603799,2026-07-03,2026-07-03,0.007028114538412622,45,0.8523489932885906
603986,2026-07-03,2026-07-03,0.006972398432477314,46,0.8489932885906041
600426,2026-07-03,2026-07-03,0.0066959009408705025,47,0.8456375838926175
600066,2026-07-03,2026-07-03,0.006552294152335748,48,0.8422818791946308
002920,2026-07-03,2026-07-03,0.00652459906502328,49,0.8389261744966443
600030,2026-07-03,2026-07-03,0.0063457786103340765,50,0.8355704697986577
002179,2026-07-03,2026-07-03,0.0062946198049028965,51,0.8322147651006712
600549,2026-07-03,2026-07-03,0.0062611258811186375,52,0.8288590604026845
002028,2026-07-03,2026-07-03,0.006231592174257908,53,0.825503355704698
300274,2026-07-03,2026-07-03,0.0061515738795330215,54,0.8221476510067114
000776,2026-07-03,2026-07-03,0.005950544889668593,55,0.8187919463087249
688472,2026-07-03,2026-07-03,0.005827584135126686,56,0.8154362416107382
601899,2026-07-03,2026-07-03,0.005774675911728951,57,0.8120805369127517
600845,2026-07-03,2026-07-03,0.00563702268940839,58,0.8087248322147651
600048,2026-07-03,2026-07-03,0.005348201675310819,59,0.8053691275167785
600875,2026-07-03,2026-07-03,0.005098988738482614,60,0.802013422818792
601688,2026-07-03,2026-07-03,0.0049393566018873965,61,0.7986577181208053
600588,2026-07-03,2026-07-03,0.004902193422617843,62,0.7953020134228188
002648,2026-07-03,2026-07-03,0.004804186872628396,63,0.7919463087248322
600415,2026-07-03,2026-07-03,0.004763969705431379,64,0.7885906040268457
601995,2026-07-03,2026-07-03,0.004651420824097073,65,0.785234899328859
002463,2026-07-03,2026-07-03,0.004611305760852088,66,0.7818791946308725
300033,2026-07-03,2026-07-03,0.00450436270159544,67,0.7785234899328859
600930,2026-07-03,2026-07-03,0.004493125717717948,68,0.7751677852348994
002384,2026-07-03,2026-07-03,0.004428210852038887,69,0.7718120805369127
601901,2026-07-03,2026-07-03,0.004414288495797666,70,0.7684563758389261
000425,2026-07-03,2026-07-03,0.004373632382169216,71,0.7651006711409396
603392,2026-07-03,2026-07-03,0.004351995086512961,72,0.761744966442953
601628,2026-07-03,2026-07-03,0.004305435644985897,73,0.7583892617449665
001391,2026-07-03,2026-07-03,0.004271459360691477,74,0.7550335570469798
600522,2026-07-03,2026-07-03,0.004219882035482022,75,0.7516778523489933
601633,2026-07-03,2026-07-03,0.0040769978966727445,76,0.7483221476510067
600219,2026-07-03,2026-07-03,0.004016246329291088,77,0.7449664429530202
300498,2026-07-03,2026-07-03,0.0038891162773584532,78,0.7416107382550335
002558,2026-07-03,2026-07-03,0.0038353624893703,79,0.738255033557047
000100,2026-07-03,2026-07-03,0.0037579863978979685,80,0.7348993288590604
601088,2026-07-03,2026-07-03,0.0037247140477684147,81,0.7315436241610739
000617,2026-07-03,2026-07-03,0.0037157298989395912,82,0.7281879194630873
300124,2026-07-03,2026-07-03,0.003713215456637949,83,0.7248322147651006
688036,2026-07-03,2026-07-03,0.003652917088827021,84,0.7214765100671141
601238,2026-07-03,2026-07-03,0.003603413771068224,85,0.7181208053691275
300308,2026-07-03,2026-07-03,0.003597161068783398,86,0.714765100671141
000568,2026-07-03,2026-07-03,0.003587427087364999,87,0.7114093959731543
601877,2026-07-03,2026-07-03,0.003550646256299387,88,0.7080536912751678
600585,2026-07-03,2026-07-03,0.003510966388651429,89,0.7046979865771812
300803,2026-07-03,2026-07-03,0.003490028343095528,90,0.7013422818791947
000625,2026-07-03,2026-07-03,0.0034844349519385248,91,0.697986577181208
600803,2026-07-03,2026-07-03,0.0034810502775241446,92,0.6946308724832215
300832,2026-07-03,2026-07-03,0.003472606360177433,93,0.6912751677852349
300394,2026-07-03,2026-07-03,0.0034307973679533225,94,0.6879194630872483
600809,2026-07-03,2026-07-03,0.003370433753978973,95,0.6845637583892618
601127,2026-07-03,2026-07-03,0.0033337737019845004,96,0.6812080536912751
002415,2026-07-03,2026-07-03,0.0032762802058368214,97,0.6778523489932886
600600,2026-07-03,2026-07-03,0.0032531943335268247,98,0.674496644295302
601727,2026-07-03,2026-07-03,0.003232498199619701,99,0.6711409395973155
002493,2026-07-03,2026-07-03,0.003216824386509916,100,0.6677852348993288
300413,2026-07-03,2026-07-03,0.003193620141581697,101,0.6644295302013423
601225,2026-07-03,2026-07-03,0.003180436301023141,102,0.6610738255033557
600515,2026-07-03,2026-07-03,0.003123690891587905,103,0.6577181208053692
002304,2026-07-03,2026-07-03,0.0030707584197872096,104,0.6543624161073825
000999,2026-07-03,2026-07-03,0.0030552635131556437,105,0.6510067114093959
000988,2026-07-03,2026-07-03,0.0030503167564122826,106,0.6476510067114094
603369,2026-07-03,2026-07-03,0.0029146373143224104,107,0.6442953020134228
601211,2026-07-03,2026-07-03,0.002890199825224881,108,0.6409395973154363
002736,2026-07-03,2026-07-03,0.0028695602551463847,109,0.6375838926174496
601009,2026-07-03,2026-07-03,0.002838962120440732,110,0.6342281879194631
300866,2026-07-03,2026-07-03,0.0028306323691467527,111,0.6308724832214765
600938,2026-07-03,2026-07-03,0.0028091203003537107,112,0.62751677852349
688183,2026-07-03,2026-07-03,0.002804119654082965,113,0.6241610738255033
688126,2026-07-03,2026-07-03,0.00280285474718237,114,0.6208053691275168
300122,2026-07-03,2026-07-03,0.002759076023224635,115,0.6174496644295302
002714,2026-07-03,2026-07-03,0.002628221301014337,116,0.6140939597315436
002074,2026-07-03,2026-07-03,0.0025888972149285634,117,0.610738255033557
000977,2026-07-03,2026-07-03,0.0025496952807688104,118,0.6073825503355704
000858,2026-07-03,2026-07-03,0.002486412123929373,119,0.6040268456375839
002027,2026-07-03,2026-07-03,0.002470387964002609,120,0.6006711409395973
600460,2026-07-03,2026-07-03,0.0024565001482582407,121,0.5973154362416108
601857,2026-07-03,2026-07-03,0.002395952894048085,122,0.5939597315436241
601825,2026-07-03,2026-07-03,0.002323771263120022,123,0.5906040268456376
600023,2026-07-03,2026-07-03,0.002310491331193165,124,0.587248322147651
600028,2026-07-03,2026-07-03,0.0022977848994691257,125,0.5838926174496645
601169,2026-07-03,2026-07-03,0.0022875266805614755,126,0.5805369127516778
600887,2026-07-03,2026-07-03,0.0022797976111709807,127,0.5771812080536913
603260,2026-07-03,2026-07-03,0.0022770506792356123,128,0.5738255033557047
600196,2026-07-03,2026-07-03,0.002262628520143001,129,0.5704697986577181
600027,2026-07-03,2026-07-03,0.0022483850026537074,130,0.5671140939597316
600276,2026-07-03,2026-07-03,0.0022357048282943765,131,0.5637583892617449
600036,2026-07-03,2026-07-03,0.002208804043892395,132,0.5604026845637584
600926,2026-07-03,2026-07-03,0.0021890209158244057,133,0.5570469798657718
600660,2026-07-03,2026-07-03,0.00217381538560843,134,0.5536912751677853
300896,2026-07-03,2026-07-03,0.0021737298395463032,135,0.5503355704697986
601077,2026-07-03,2026-07-03,0.0021645255240701705,136,0.5469798657718121
600741,2026-07-03,2026-07-03,0.0021622148229958464,137,0.5436241610738255
601006,2026-07-03,2026-07-03,0.002157798178991069,138,0.540268456375839
002466,2026-07-03,2026-07-03,0.0021379503513374283,139,0.5369127516778524
003816,2026-07-03,2026-07-03,0.0020864404470330527,140,0.5335570469798657
601018,2026-07-03,2026-07-03,0.0020855117033308002,141,0.5302013422818792
601390,2026-07-03,2026-07-03,0.0020233001347515754,142,0.5268456375838926
601360,2026-07-03,2026-07-03,0.0020146076008260927,143,0.5234899328859061
600104,2026-07-03,2026-07-03,0.0019953719376275877,144,0.5201342281879194
300015,2026-07-03,2026-07-03,0.0019895543749846828,145,0.5167785234899329
600085,2026-07-03,2026-07-03,0.0019572998735739363,146,0.5134228187919463
600760,2026-07-03,2026-07-03,0.0019368974848558097,147,0.5100671140939598
301308,2026-07-03,2026-07-03,0.0019284729569277645,148,0.5067114093959731
601668,2026-07-03,2026-07-03,0.0018576551925686992,149,0.5033557046979866
601838,2026-07-03,2026-07-03,0.0018431931471775617,150,0.5
601607,2026-07-03,2026-07-03,0.0017797689201036794,151,0.4966442953020134
600372,2026-07-03,2026-07-03,0.001772076206694734,152,0.49328859060402686
600039,2026-07-03,2026-07-03,0.0017537291197344878,153,0.4899328859060403
600346,2026-07-03,2026-07-03,0.0017365708277228382,154,0.4865771812080537
601058,2026-07-03,2026-07-03,0.0017292978409834839,155,0.48322147651006714
601818,2026-07-03,2026-07-03,0.0017249807673723795,156,0.4798657718120805
600089,2026-07-03,2026-07-03,0.0017245982838869339,157,0.47651006711409394
300251,2026-07-03,2026-07-03,0.0017231601720699497,158,0.47315436241610737
000596,2026-07-03,2026-07-03,0.0017203427331915382,159,0.4697986577181208
601618,2026-07-03,2026-07-03,0.0016915737994159725,160,0.4664429530201342
000963,2026-07-03,2026-07-03,0.001686383248423424,161,0.46308724832214765
002311,2026-07-03,2026-07-03,0.0016575756361663853,162,0.4597315436241611
002837,2026-07-03,2026-07-03,0.001644319028406375,163,0.4563758389261745
300418,2026-07-03,2026-07-03,0.001629468295441511,164,0.45302013422818793
601881,2026-07-03,2026-07-03,0.001629139560382799,165,0.44966442953020136
600009,2026-07-03,2026-07-03,0.0016133124840064551,166,0.4463087248322148
600016,2026-07-03,2026-07-03,0.001556574993523611,167,0.4429530201342282
300999,2026-07-03,2026-07-03,0.0015323044009096644,168,0.4395973154362416
000708,2026-07-03,2026-07-03,0.0015258904358680695,169,0.436241610738255
600989,2026-07-03,2026-07-03,0.0015168482952980095,170,0.43288590604026844
601919,2026-07-03,2026-07-03,0.001513831426755097,171,0.42953020134228187
601800,2026-07-03,2026-07-03,0.0015020830393797453,172,0.4261744966442953
000895,2026-07-03,2026-07-03,0.0014922788079001952,173,0.4228187919463087
603893,2026-07-03,2026-07-03,0.001401713027907365,174,0.41946308724832215
688271,2026-07-03,2026-07-03,0.0013998539163670462,175,0.4161073825503356
002352,2026-07-03,2026-07-03,0.0013319965924397162,176,0.412751677852349
601186,2026-07-03,2026-07-03,0.0013035315533787353,177,0.40939597315436244
002602,2026-07-03,2026-07-03,0.0012991674426844411,178,0.40604026845637586
600905,2026-07-03,2026-07-03,0.0012831482473933808,179,0.40268456375838924
601766,2026-07-03,2026-07-03,0.0012827339723223419,180,0.39932885906040266
601728,2026-07-03,2026-07-03,0.0012092556870292692,181,0.3959731543624161
601318,2026-07-03,2026-07-03,0.0011912434624753597,182,0.3926174496644295
600015,2026-07-03,2026-07-03,0.0011858923790609912,183,0.38926174496644295
600941,2026-07-03,2026-07-03,0.0011645122213282974,184,0.3859060402684564
603288,2026-07-03,2026-07-03,0.0011575233048424763,185,0.3825503355704698
601059,2026-07-03,2026-07-03,0.001140947179124814,186,0.37919463087248323
601816,2026-07-03,2026-07-03,0.0011114697823780455,187,0.37583892617449666
601166,2026-07-03,2026-07-03,0.0010765178493355911,188,0.3724832214765101
000538,2026-07-03,2026-07-03,0.0010663729981700112,189,0.3691275167785235
600019,2026-07-03,2026-07-03,0.0010640844827736085,190,0.36577181208053694
600026,2026-07-03,2026-07-03,0.0010456349337748083,191,0.3624161073825503
601998,2026-07-03,2026-07-03,0.0010393369058211328,192,0.35906040268456374
600674,2026-07-03,2026-07-03,0.0010155656617819695,193,0.35570469798657717
600050,2026-07-03,2026-07-03,0.0010034138071167674,194,0.3523489932885906
600160,2026-07-03,2026-07-03,0.0010030967072967207,195,0.348993288590604
601658,2026-07-03,2026-07-03,0.0009828126198975153,196,0.34563758389261745
600018,2026-07-03,2026-07-03,0.0009804116767120423,197,0.3422818791946309
600025,2026-07-03,2026-07-03,0.000952412177920669,198,0.3389261744966443
300433,2026-07-03,2026-07-03,0.0009501325981261701,199,0.33557046979865773
605117,2026-07-03,2026-07-03,0.0009230877142811356,200,0.33221476510067116
688009,2026-07-03,2026-07-03,0.0009216983698718269,201,0.3288590604026846
601689,2026-07-03,2026-07-03,0.0008697639660615103,202,0.32550335570469796
600570,2026-07-03,2026-07-03,0.000864047783580794,203,0.3221476510067114
002230,2026-07-03,2026-07-03,0.0008500253787729901,204,0.3187919463087248
601136,2026-07-03,2026-07-03,0.0008266831199847831,205,0.31543624161073824
002001,2026-07-03,2026-07-03,0.0008203098730930294,206,0.31208053691275167
688111,2026-07-03,2026-07-03,0.0008088256315162875,207,0.3087248322147651
002202,2026-07-03,2026-07-03,0.00077777108198741,208,0.3053691275167785
601916,2026-07-03,2026-07-03,0.0007760221277300736,209,0.30201342281879195
601229,2026-07-03,2026-07-03,0.0007347026372340941,210,0.2986577181208054
601319,2026-07-03,2026-07-03,0.0007302412451726618,211,0.2953020134228188
300442,2026-07-03,2026-07-03,0.0007013108053703126,212,0.29194630872483224
600406,2026-07-03,2026-07-03,0.0006882227500418172,213,0.28859060402684567
600436,2026-07-03,2026-07-03,0.0006346770908762256,214,0.28523489932885904
601878,2026-07-03,2026-07-03,0.0005890541433272893,215,0.28187919463087246
601788,2026-07-03,2026-07-03,0.0005762038844351208,216,0.2785234899328859
600919,2026-07-03,2026-07-03,0.0005711199665404608,217,0.2751677852348993
302132,2026-07-03,2026-07-03,0.0005245194778768853,218,0.27181208053691275
600918,2026-07-03,2026-07-03,0.0005232764935751036,219,0.2684563758389262
600000,2026-07-03,2026-07-03,0.0005098086507509708,220,0.2651006711409396
002049,2026-07-03,2026-07-03,0.0004907707046995384,221,0.26174496644295303
000651,2026-07-03,2026-07-03,0.0004852432719867669,222,0.25838926174496646
002241,2026-07-03,2026-07-03,0.00044555453981918406,223,0.2550335570469799
002236,2026-07-03,2026-07-03,0.00044522501760679324,224,0.2516778523489933
688981,2026-07-03,2026-07-03,0.0004246162554695502,225,0.2483221476510067
000768,2026-07-03,2026-07-03,0.00037339924059070866,226,0.24496644295302014
600061,2026-07-03,2026-07-03,0.0003629505803835395,227,0.24161073825503357
600958,2026-07-03,2026-07-03,0.0003369709815975904,228,0.23825503355704697
000301,2026-07-03,2026-07-03,0.0003081080442654675,229,0.2348993288590604
601377,2026-07-03,2026-07-03,0.0002636062960197743,230,0.23154362416107382
601117,2026-07-03,2026-07-03,0.00022191779429821262,231,0.22818791946308725
600690,2026-07-03,2026-07-03,0.0001883333714994776,232,0.22483221476510068
601100,2026-07-03,2026-07-03,0.00016840273046761175,233,0.2214765100671141
000002,2026-07-03,2026-07-03,0.00015532659324995292,234,0.2181208053691275
601336,2026-07-03,2026-07-03,0.00013303324233871204,235,0.21476510067114093
600795,2026-07-03,2026-07-03,0.00011431710437677026,236,0.21140939597315436
600118,2026-07-03,2026-07-03,6.27248285567956e-05,237,0.2080536912751678
600900,2026-07-03,2026-07-03,4.8912780161070365e-05,238,0.20469798657718122
000157,2026-07-03,2026-07-03,4.115237543131e-05,239,0.20134228187919462
600150,2026-07-03,2026-07-03,3.7545761589727806e-05,240,0.19798657718120805
300750,2026-07-03,2026-07-03,1.9178345580071214e-05,241,0.19463087248322147
600886,2026-07-03,2026-07-03,6.063438705762852e-06,242,0.1912751677852349
601939,2026-07-03,2026-07-03,-2.1800024914979606e-06,243,0.18791946308724833
601888,2026-07-03,2026-07-03,-1.8081443600972004e-05,244,0.18456375838926176
601669,2026-07-03,2026-07-03,-6.347673427941887e-05,245,0.18120805369127516
002709,2026-07-03,2026-07-03,-0.0001648166052987166,246,0.17785234899328858
603296,2026-07-03,2026-07-03,-0.00019450137585687815,247,0.174496644295302
000333,2026-07-03,2026-07-03,-0.00020261747154029646,248,0.17114093959731544
300760,2026-07-03,2026-07-03,-0.00026074524018956805,249,0.16778523489932887
000938,2026-07-03,2026-07-03,-0.00026627393837703404,250,0.1644295302013423
002142,2026-07-03,2026-07-03,-0.00027727239578843285,251,0.1610738255033557
600519,2026-07-03,2026-07-03,-0.00030255911928610995,252,0.15771812080536912
001965,2026-07-03,2026-07-03,-0.00038566701457903754,253,0.15436241610738255
000166,2026-07-03,2026-07-03,-0.0004004155650229562,254,0.15100671140939598
300628,2026-07-03,2026-07-03,-0.00047881362412109814,255,0.1476510067114094
000001,2026-07-03,2026-07-03,-0.00048246359784548214,256,0.14429530201342283
601601,2026-07-03,2026-07-03,-0.00048776457458153135,257,0.14093959731543623
601868,2026-07-03,2026-07-03,-0.0004983873183124054,258,0.13758389261744966
601456,2026-07-03,2026-07-03,-0.000569068228638956,259,0.1342281879194631
601985,2026-07-03,2026-07-03,-0.0006271908044300706,260,0.13087248322147652
601288,2026-07-03,2026-07-03,-0.0006868613983928713,261,0.12751677852348994
601138,2026-07-03,2026-07-03,-0.0008303843625156165,262,0.12416107382550336
300014,2026-07-03,2026-07-03,-0.0009405324988954773,263,0.12080536912751678
688008,2026-07-03,2026-07-03,-0.0009661473453471645,264,0.1174496644295302
601111,2026-07-03,2026-07-03,-0.00104143257464153,265,0.11409395973154363
000792,2026-07-03,2026-07-03,-0.0010565480211439475,266,0.11073825503355705
601328,2026-07-03,2026-07-03,-0.0010590665662948858,267,0.10738255033557047
600031,2026-07-03,2026-07-03,-0.0011372737078691514,268,0.1040268456375839
601698,2026-07-03,2026-07-03,-0.0011483173529333425,269,0.10067114093959731
600362,2026-07-03,2026-07-03,-0.0011586137420369106,270,0.09731543624161074
600029,2026-07-03,2026-07-03,-0.0013168440022963991,271,0.09395973154362416
601988,2026-07-03,2026-07-03,-0.00132409927005652,272,0.09060402684563758
600221,2026-07-03,2026-07-03,-0.0013607587143919353,273,0.087248322147651
601398,2026-07-03,2026-07-03,-0.001381086909098675,274,0.08389261744966443
600111,2026-07-03,2026-07-03,-0.001413838869190982,275,0.08053691275167785
600309,2026-07-03,2026-07-03,-0.0014781452959430324,276,0.07718120805369127
688047,2026-07-03,2026-07-03,-0.0017257694710975263,277,0.0738255033557047
001280,2026-07-03,2026-07-03,-0.0020327283194302805,278,0.07046979865771812
600176,2026-07-03,2026-07-03,-0.0021015413318148345,279,0.06711409395973154
301236,2026-07-03,2026-07-03,-0.0022630472478085487,280,0.06375838926174497
600010,2026-07-03,2026-07-03,-0.0024055905886450095,281,0.06040268456375839
601012,2026-07-03,2026-07-03,-0.002427014211383035,282,0.05704697986577181
000063,2026-07-03,2026-07-03,-0.002458066613058645,283,0.053691275167785234
603019,2026-07-03,2026-07-03,-0.0028982100667747875,284,0.050335570469798654
600011,2026-07-03,2026-07-03,-0.0033010876086990103,285,0.04697986577181208
002916,2026-07-03,2026-07-03,-0.0035502643866130185,286,0.0436241610738255
600115,2026-07-03,2026-07-03,-0.0036085765534911497,287,0.040268456375838924
603501,2026-07-03,2026-07-03,-0.003727404869623135,288,0.03691275167785235
601872,2026-07-03,2026-07-03,-0.004023024383973214,289,0.03355704697986577
300059,2026-07-03,2026-07-03,-0.004039807003959718,290,0.030201342281879196
000630,2026-07-03,2026-07-03,-0.00417309314441799,291,0.026845637583892617
600183,2026-07-03,2026-07-03,-0.004200844409008361,292,0.02348993288590604
000725,2026-07-03,2026-07-03,-0.008272376292327006,293,0.020134228187919462
300408,2026-07-03,2026-07-03,-0.010262925159161431,294,0.016778523489932886
002600,2026-07-03,2026-07-03,-0.010368796082984811,295,0.013422818791946308
600584,2026-07-03,2026-07-03,-0.01155798964008903,296,0.010067114093959731
603993,2026-07-03,2026-07-03,-0.012360919062334873,297,0.006711409395973154
002050,2026-07-03,2026-07-03,-0.015320968626031904,298,0.003355704697986577
